__builtin_msa_cle_s_b	v16i8	v16i8 a, v16i8 b
__builtin_msa_cle_s_d	v2i64	v2i64 a, v2i64 b
__builtin_msa_cle_s_h	v8i16	v8i16 a, v8i16 b
__builtin_msa_cle_s_w	v4i32	v4i32 a, v4i32 b
__builtin_msa_cle_u_b	v16i8	v16u8 a, v16u8 b
__builtin_msa_cle_u_d	v2i64	v2u64 a, v2u64 b
__builtin_msa_cle_u_h	v8i16	v8u16 a, v8u16 b
__builtin_msa_cle_u_w	v4i32	v4u32 a, v4u32 b
__builtin_msa_clei_s_b	v16i8	v16i8 a, int imm_n16_15
__builtin_msa_clei_s_d	v2i64	v2i64 a, int imm_n16_15
__builtin_msa_clei_s_h	v8i16	v8i16 a, int imm_n16_15
__builtin_msa_clei_s_w	v4i32	v4i32 a, int imm_n16_15
__builtin_msa_clei_u_b	v16i8	v16u8 a, int imm0_31
__builtin_msa_clei_u_d	v2i64	v2u64 a, int imm0_31
__builtin_msa_clei_u_h	v8i16	v8u16 a, int imm0_31
__builtin_msa_clei_u_w	v4i32	v4u32 a, int imm0_31
__builtin_msa_clt_s_b	v16i8	v16i8 a, v16i8 b
__builtin_msa_clt_s_d	v2i64	v2i64 a, v2i64 b
__builtin_msa_clt_s_h	v8i16	v8i16 a, v8i16 b
__builtin_msa_clt_s_w	v4i32	v4i32 a, v4i32 b
__builtin_msa_clt_u_b	v16i8	v16u8 a, v16u8 b
__builtin_msa_clt_u_d	v2i64	v2u64 a, v2u64 b
__builtin_msa_clt_u_h	v8i16	v8u16 a, v8u16 b
__builtin_msa_clt_u_w	v4i32	v4u32 a, v4u32 b
__builtin_msa_clti_s_b	v16i8	v16i8 a, int imm_n16_15
__builtin_msa_clti_s_d	v2i64	v2i64 a, int imm_n16_15
__builtin_msa_clti_s_h	v8i16	v8i16 a, int imm_n16_15
__builtin_msa_clti_s_w	v4i32	v4i32 a, int imm_n16_15
__builtin_msa_clti_u_b	v16i8	v16u8 a, int imm0_31
